maghrib,fajr
18:37,05:21	
18:38,05:19	
18:38,05:17	
18:39,05:16	
18:40,05:15	
18:41,05:13	
18:41,05:12	
18:42,05:10	
18:42,05:09	
18:43,05:08	
18:43,05:07	
18:43,05:05	
18:44,05:03	
18:45,05:02	
18:46,05:01	
18:47,04:59	
18:47,04:58	
18:48,04:56	
18:48,04:55	
18:48,04:53	
18:49,04:52	
18:50,04:50	
18:51,04:49	
18:52,04:48	
18:53,04:46	
18:54,04:44	
18:54,04:43	
18:55,04:42	
18:56,04:40	
18:56,04:40
