maghrib,fajr
18:36,5:50 
18:37,5:48 
18:38,5:47 
18:39,5:46 
18:40,5:45 
18:41,5:44 
18:41,5:43 
18:42,5:42 
18:43,5:41 
18:44,5:40 
18:45,5:38 
18:46,5:37 
18:46,5:36 
18:47,5:35 
18:48,5:33 
18:49,5:32 
18:50,5:31 
18:51,5:30 
18:51,5:28 
18:52,5:27 
18:53,5:26 
18:54,5:24 
18:55,5:23 
18:55,5:22 
18:56,5:20 
18:57,5:19 
18:58,5:17 
18:58,5:16 
18:59,5:14 
19:00,5:13
